principal_mes22_id,Quantidade_de_Exportacoes_no_Mes,Valor_total_das_Exportacoes_no_Mes
Abril,87694,"$28,969,694,687"
Agosto,95306,"$30,786,908,834"
Dezembro,93853,"$26,342,396,058"
Fevereiro,82920,"$23,513,305,117"
Janeiro,80271,"$19,779,928,894"
Julho,91701,"$29,844,324,640"
Junho,93860,"$32,742,194,543"
Maio,95675,"$29,642,851,197"
Março,91178,"$29,422,320,196"
Novembro,88488,"$27,652,303,451"
Setembro,93166,"$28,587,334,142"
